2016-04-20 07,76,2022484408,36.0,661.0
2016-04-20 08,74,2022484408,38.0,1272.0
2016-04-20 09,121,2022484408,139.0,4293.0
2016-04-20 10,69,2022484408,6.0,172.0
2016-04-20 11,71,2022484408,16.0,410.0
2016-04-20 12,88,2022484408,56.0,1314.0
2016-04-20 13,109,2022484408,31.0,664.0
2016-04-20 14,109,2022484408,72.0,1780.0
2016-04-20 15,109,2022484408,33.0,924.0
2016-04-20 16,109,2022484408,25.0,854.0
2016-04-20 17,109,2022484408,27.0,944.0
2016-04-20 18,109,2022484408,22.0,541.0
2016-04-20 19,109,2022484408,22.0,839.0
2016-04-20 20,109,2022484408,16.0,315.0
2016-04-20 21,109,2022484408,0.0,0.0
2016-04-20 22,109,2022484408,0.0,0.0
2016-04-20 23,109,2022484408,0.0,0.0
2016-04-21 00,109,2022484408,0.0,0.0
2016-04-21 01,76,2022484408,0.0,0.0
2016-04-21 02,99,2022484408,0.0,0.0
2016-04-21 03,82,2022484408,0.0,0.0
2016-04-21 04,113,2022484408,0.0,0.0
2016-04-21 05,96,2022484408,0.0,0.0
2016-04-21 06,75,2022484408,0.0,0.0
2016-04-21 07,79,2022484408,40.0,955.0
2016-04-21 08,64,2022484408,10.0,168.0
2016-04-21 09,64,2022484408,22.0,481.0
2016-04-21 10,106,2022484408,93.0,1272.0
2016-04-21 11,92,2022484408,71.0,968.0
2016-04-21 12,94,2022484408,102.0,3571.0
2016-04-21 13,71,2022484408,2.0,13.0
2016-04-21 14,71,2022484408,80.0,1357.0
2016-04-21 15,71,2022484408,49.0,1248.0
2016-04-21 16,71,2022484408,97.0,506.0
2016-04-21 17,71,2022484408,59.0,427.0
2016-04-21 18,71,2022484408,21.0,955.0
2016-04-21 19,71,2022484408,17.0,370.0
2016-04-21 20,71,2022484408,10.0,162.0
2016-04-21 21,71,2022484408,0.0,0.0
2016-04-21 22,71,2022484408,0.0,0.0
2016-04-21 23,71,2022484408,0.0,0.0
